NOME_PRODUTO,DESCRIÇÃO
ZINLERG,ANTIALERGICOS
ZINNAT,ANTINFECCIOSOS
ZINOGRAF ME,AGENTE IMUNOSUPRESSOR
ZINOPRIL,ANTI-HIPERTENSIVOS
ZINPASS,ANTILIPEMICOS
ZINPASS® EZE,ANTILIPEMICOS
ZIOR,ANTIMICOTICO
ZIPRAS,ANTIPSICOTICOS
ZIPROL,ANTIACIDOS E ANTIULCEROSOS
ZIPTUSS,ANTITUSSIGENOS SIMPLES
ZIQUEMAX,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ZIRABEV,ANTINEOPLASICO
ZIRINE,ANTI-HISTAMINICOS SISTEMICOS
ZIRK,ANTIBIOTICOS SISTEMICOS SIMPLES
ZIRVIT,POLIVITAMINICOS COM MINERAIS
ZIRVIT 600 S,POLIVITAMINICOS COM MINERAIS
ZIRVIT BETA,MONOVITAMINAS EXCETO VITAMINA K
ZIRVIT E,MONOVITAMINAS EXCETO VITAMINA K
ZIRVIT MULTI,POLIVITAMINICOS COM MINERAIS
ZIRVIT PLUS,POLIVITAMINICOS COM MINERAIS
ZISID,ANTIPSICOTICOS
ZITALGIN,ANALGESICOS
ZITAMAX,MACROLIDEOS
ZITRAC,ANTINFECCIOSOS
ZITRIL,ANTIBIOTICOS SISTEMICOS SIMPLES
ZITRINA,ANTIBIOTICOS SISTEMICOS SIMPLES
ZITROBIOL,ANTIBIOTICOS SISTEMICOS SIMPLES
ZITROMAX,ANTIBIOTICOS SISTEMICOS SIMPLES
ZITROMICIN,ANTINFECCIOSOS
ZITROMICIN,ANTIBIOTICOS SISTEMICOS SIMPLES
ZITROMIL,ANTIBIOTICOS SISTEMICOS SIMPLES
ZITRONEO,ANTIBIOTICOS SISTEMICOS SIMPLES
ZITROX,ANTIBIOTICOS SISTEMICOS SIMPLES
ZIVODIL,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ZIVUDIN,ANTIVIROTICOS
ZOBILAR,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
ZOBONE,ANTINEOPLASICO
ZOCOR,ANTILIPEMICOS
ZODEL,HIPNOTICOS
ZODEL,ANTIDEPRESSIVOS
ZODNEY,SUPRESSORES DA REABSORCAO OSSEA
ZOELY,ANTICONCEPCIONAIS
ZOFLUX,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
ZOFRAN,ANTIEMETICOS E ANTINAUSEANTES
ZOLADEX,ANTINEOPLASICO
ZOLAMOX,DIURETICOS
ZOLANIX,ANTIMICOTICOS SISTEMICOS
ZOLAPIN,NEUROLEPTICOS
ZOLBEN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ZOLCRIS,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
ZOLDABEN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ZOLDAC,ANSIOLITICOS SIMPLES
ZOLDAN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ZOLEDRA,ANTINEOPLASICO
ZOLEPTIL,ANTIDEPRESSIVOS
ZOLES,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ZOLFEST D,ANSIOLITICOS SIMPLES
ZOLIBBS,ANTINEOPLASICO
ZOLIDAM,ANSIOLITICOS SIMPLES
ZOLIDINA,ANTIBIOTICOS SISTEMICOS SIMPLES
ZOLMIC,ANTIMICOTICOS SISTEMICOS
ZOLMICOL,ANTIMICOTICOS SISTEMICOS
ZOLMIN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ZOLOFT,ANTIDEPRESSIVOS
ZOLPAZ,HIPNOTICOS
ZOLPIREST,HIPNOTICOS
ZOLPRAMEX,ANTIULCEROSOS
ZOLPROX,ANTINFECCIOSOS
ZOLPROX,ANTIBIOTICOS SISTEMICOS SIMPLES
ZOLREM SL,HIPNOTICOS
ZOLSAN,ANTIMICOTICOS SISTEMICOS
ZOLSTATIN,ANTIMICOTICO
ZOLTEC,ANTIMICOTICOS SISTEMICOS
ZOLTRALINA,ANTIDEPRESSIVOS
ZOLTREN,ANTIMICOTICO
ZOLTRON,ANTIDEPRESSIVOS
ZOMETA,SUPRESSORES DA REABSORCAO OSSEA
ZOMI,ANTINEOPLASICOS CITOTOXICOS
ZOMIG/ZOMIG OD,ANALGESICOS CONTRA ENXAQUECA
ZOMYLE,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES
ZONAX,ANTIEMETICOS E ANTINAUSEANTES
ZONOVATE,FIBRINOLITICOS E PROTEOLITICOS
ZOPICLONA,HIPNOTICOS
ZOPICLONA (PORT 28/86),HIPNOTICOS
ZOPINA,ANTIPSICOTICOS
ZOPISTIL,HIPNOTICOS
ZOPIX,ANTIPSICOTICOS
ZOPRINOL,ANTIGOTOSOS
ZORAC,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
ZORBEX,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ZORTEN,ANTI-HIPERTENSIVOS SIMPLES
ZORTRIX,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES
ZOSTAVAX,VACINAS
ZOTAC,ANTINFLAMATORIOS
ZOTECAN,ANTINEOPLASICO
ZOTEON PÓ,AMINOGLICOSIDEOS
ZOTEPINA (PORT 344/98 LISTA C1),ANTIDEPRESSIVOS
ZOUP SL,HIPNOTICOS
ZOVIRAX,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ZOXANY,ANTIPARASITARIOS
ZOXIPAN,ANTIDEPRESSIVOS
ZOXYLAB,ANTIPARASITARIOS
ZOYLEX,ANTIVIROTICOS
ZUCLON,ANTICONVULSIVANTES
ZUCLOPENTIXOL,NEUROLEPTICOS
ZUFLAM,ANTINFLAMATORIOS
ZUPLYN,ANALGESICOS
ZURAMPIC,ANTIGOTOSOS
ZURAMPIC,
ZURCAL,ANTIACIDOS E ANTIULCEROSOS SIMPLES
ZYAD,VASODILATADORES
ZYBAN,ANTITABAGICO
ZYBETAX,ANTIGLAUCOMATOSOS
ZYBINA,ANTINEOPLASICO
ZYCITAPRAM,ANTIDEPRESSIVOS
ZYDENA,VASODILATADORES
ZYDIFREN,NEUROLEPTICOS
ZYDOVIN,ANTIVIROTICOS
ZYFLOXIN,ANTIDEPRESSIVOS
ZYLCAS,ANTIASMATICOS
ZYLET,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
ZYLINOX,HIPNOTICOS
ZYLINOX SL,HIPNOTICOS
ZYLIUM,ANTIACIDOS E ANTIULCEROSOS SIMPLES
ZYLORIC,ANTIGOTOSOS
ZYLORIC,ALOPURINOL + ANTIGOTOSOS
ZYLPEN,ANTIBIOTICOS SISTEMICOS SIMPLES
ZYMAR,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
ZYMEA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
ZYMPALIX,ANSIOLITICOS SIMPLES
ZYNVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ZYOLAN,ANTIPSICOTICOS
ZYOXIPINA,ANTICONVULSIVANTES
ZYPADHERA,ANTIPSICOTICOS
ZYPAROX,ANTIDEPRESSIVOS
ZYPILANZ,ANTIPSICOTICOS
ZYPLO,ANTITUSSIGENOS SIMPLES
ZYPRED,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
ZYPREXA,ANTIPSICOTICOS
ZYRTEC,ANTIALERGICOS
ZYRTEC D,OUTROS ANTIALERGICOS
ZYSERTIN,ANTIDEPRESSIVOS
ZYTIGA,OUTROS ANTINEOPLASICOS
ZYTIGA®,OUTROS ANTINEOPLASICOS
ZYTRA,ANALGESICOS NARCOTICOS
ZYVALPREX,ANTICONVULSIVANTES
ZYVIFAX,ANTIDEPRESSIVOS
ZYVOX,ANTIBIOTICOS SISTEMICOS SIMPLES
ZYXEM,ANTIALERGICOS
Zedora,ANTINEOPLASICO
Zenalb 20,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS
Zeterina,ANTILIPEMICOS
Zinamin,TUBERCULOSTATICOS
ZincTrace,NUTRIENTES PARENTERAIS
Zolgensma,OUTROS MEDICAMENTOS PARA TRANSTORNOS DO SISTEMA MÚSCULO-ESQUELÉTICO
Zostide,OUTROS ANTINEOPLASICOS
acetato de abiraterona,AGENTES ANTINEOPLÁSICOS
acetato de abiraterona,OUTROS ANTINEOPLASICOS
acetato de atosibana,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
acetato de caspofungina,ANTI-FUNGICOS
acetato de ciproterona + etinilestradiol,ANDROGENOS SIMPLES
acetato de ciproterona + etinilestradiol,ANTICONCEPCIONAIS
acetato de ciproterona + etinilestradiol,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
acetato de ciproterona+etinilestradiol,ANTICONCEPCIONAIS
acetato de clomardinona + etinildestradiol,ANTICONCEPCIONAIS
acetato de desmopressina,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES
acetato de dexametasona,GLICOCORTICOIDES SISTEMICOS
acetato de glatirâmer,IMUNOMODULADOR
acetato de terlipressina,OUTROS PRODUTOS ANTI-HEMORRAGICOS
aciclovir,ANTIRETROVIRAL
aciclovir sódico,ANTIVIRAIS
aero-ifal,BRONCODILATADORES
agomelatina,ANTIDEPRESSIVOS
albistat,ANTIMICOTICO
algestona acetofenida + enantato de estradiol,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
alividerm,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
amoxicilina,PENICILINA G E DERIVADOS (BENZILPENICILINAS)
amoxicilina + claritromicina + esomeprazol,ANTIACIDOS E ANTIULCEROSOS
amoxicilina + clavulonato de potássio,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
amoxicilina sódica + clavulanato de potássio,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
amoxicilina tri-hidratada + clavulanato de potássio,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
amoxicilina triidratada + clavulanato de potássio,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
anatensol,ANSIOLITICOS SIMPLES
apixabana,ANTICOAGULANTES
apixabana,ANTITROMBOTICO
apixabana,AGENTES ANTITROMBÓTICOS
arterox,ANTI-HIPERTENSIVOS SIMPLES
asmen,OUTROS MEDICAMENTOS ANTIASMATICOS
atenolol,ANTI-HIPERTENSIVOS
azacitidina,ANTIMETABOLICOS ANALOGOS DA PIRIMIDINA
azitrimicina di-hidratada,ANTIBIOTICOS SISTEMICOS SIMPLES
azitromicina monoidratada,ANTIBIOTICOS SISTEMICOS SIMPLES
belarina,ANTICONCEPCIONAIS
beminal com vitamina c,POLIVITAMINICOS SEM MINERAIS
besilato de anlodipino,ANTI-HIPERTENSIVOS SIMPLES + ANTIANGINOSOS E VASODILATADORES
besilato de anlodipino + losartana potássica,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
besilato de anlodipino+atenolol,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
besilato de atracúrio,RELAXANTES MUSCULARES
besilato de cisatracúrio,BLOQUEADOR NEUROMUSCULAR
besilato de levanlodipino,ANTI-HIPERTENSIVOS SIMPLES
bilastina,ANTI-HISTAMINICOS SISTEMICOS
bissulfato de clopidrogel,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
brometo de ipratróprio,BRONCODILATADORES
brometo de pancurônio,BLOQUEADOR NEUROMUSCULAR
brometo de rocuronio,BLOQUEADOR NEUROMUSCULAR
brometo de rocurônio,BLOQUEADOR NEUROMUSCULAR
bromoprida,ANTIEMÉTICOS E ANTINAUSEANTES
bromprida,ANTIEMETICOS E ANTINAUSEANTES
butilbrometo de escopolamina + dipirona monoidratada,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
candesartana cilexetila,ANTI-HIPERTENSIVOS
capecitabina,ANTINEOPLASICOS CITOTOXICOS
capecitabina,AGENTES ANTINEOPLÁSICOS
carbamazepina  (Port 344/98 lista C1),ANTICONVULSIVANTES
carbamazepina (PORT 344/98 - Lista C1),ANTICONVULSIVANTES
carbamazepina (Port 344/98 lista C1),ANTICONVULSIVANTES
carbidopa monoidratada + levodopa,ANTIPARKINSONIANOS
carbonato de cálcio + colecalciferol (vitamina D3),VITAMINAS E SUPLEMENTOS MINERAIS
carenvit,POLIVITAMINICOS SEM MINERAIS
carisoprodol + diclofenaco sódico + paracetamol + cafeína,RELAXANTES MUSCULARES
carmustina,NITROSUREIAS ALQUILANTES
castanha da índia,FITOTERAPICO SIMPLES
cefalotina sódica,ANTIBIOTICOS SISTEMICOS SIMPLES
cefazolina sódica,ANTIBIOTICOS SISTEMICOS SIMPLES
cefpilib,CEFALOSPORINAS
ceftriaxona dissódica hemieptaidratada,CEFALOSPORINAS
cefuroxima sódica,ANTIBIOTICOS SISTEMICOS SIMPLES
cetoconazol + betametasona + sulfato de neomicina,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
cetoconazol+dipropionato de betametasona,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
cetoprofeno,ANTINFLAMATORIOS ANTIREUMATICOS + CETOPROFENO
cetorolaco de trometamol,ANTINFLAMATORIOS
ciclesonida,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA
ciclosporina,AGENTE IMUNOSUPRESSOR + IMUNOSUPRESSOR
citrato de orfenadrina+dipirona sódica+cafeína,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS
claquinona,DESMELANIZANTES
claritromicina,ANTIBIOTICO (ANTIMICOTICO)
claritromicina,MACROLÍDEOS
clonixinato de lisina + cloridrato de ciclobenzaprin,ANALGESICOS
cloreto de sodio 20%,ELETROLITOS SIMPLES
cloridarto de memantina,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
cloridrato  de raloxifeno,SUPRESSORES DA REABSORCAO OSSEA
cloridrato de bendamustina,ANTINEOPLASICOS CITOTOXICOS
cloridrato de biperideno,ANTICONVULSIVANTES E ANTIPARKINSONIANOS
cloridrato de bupivacaína hiperbárica,ANESTESICOS LOCAIS
cloridrato de cefepima,
cloridrato de cetamina,ANESTESICOS GERAIS INJETAVEIS
cloridrato de cinacalcete,ANTITIREOIDEANOS
cloridrato de ciprofloxacino + dexametasona,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
cloridrato de ciprofloxacino monoidratado + dexametasona,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
cloridrato de clonidina,ANALGESICOS
cloridrato de clonidina,ANALGESICOS NAO NARCOTICOS
cloridrato de clorpromazina,NEUROLEPTICOS
cloridrato de donepezila + cloridrato de memantina,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
cloridrato de dorzolamida+maleato de timolol,ANTIGLAUCOMATOSOS
cloridrato de erlotinibe,AGENTES ANTINEOPLÁSICOS
cloridrato de fexofenadina,ANTI-HISTAMÍNICOS PARA USO SISTÊMICO
cloridrato de fexofenadina + cloridrato de pseudoefedrina,ANTI-HISTAMINICOS SISTEMICOS
cloridrato de gencitabina,AGENTES ANTINEOPLÁSICOS
cloridrato de gencitabina,ANTINEOPLASICOS CITOTOXICOS
cloridrato de irinotecana,ANTINEOPLASICO
cloridrato de irinotecano triidratado,AGENTES ANTINEOPLÁSICOS
cloridrato de ivabradina,ANTIANGINOSOS E VASODILATADORES
cloridrato de lidocaína monoidratado,ANESTESICOS LOCAIS
cloridrato de lincomicina,MACROLIDEOS
cloridrato de mebeverina,ANTIESPASMODICOS
cloridrato de memantina,OUTROS MEDICAMENTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
cloridrato de metformina +glibenclamida,ANTIDIABETICOS
cloridrato de metilfenidato,PSICOANALÉPTICOS
cloridrato de metilfenidato,PSICOANALETICOS
cloridrato de midazolam,HIPNOTICOS
cloridrato de moxifloxacino,ANTI-INFECCIOSOS
cloridrato de oxicodona,ANALGESICOS NARCOTICOS
cloridrato de propranolol + hidroclorotiazida,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
cloridrato de remifentanila,ANALGESICOS NARCOTICOS
cloridrato de teraciclina + anfotericina B,PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS
cloridrato de tiamina + cloridrato de piridoxina + cianocobalamina + ,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
cloridrato de tirofibana monoidratado,ANTIAGREGANTE PLAQUETARIO
cloridrato de trazodona,ANTIDEPRESSIVOS + OUTROS ANTIDEPRESSIVOS
cloridrato de valganciclovir,ANTIVIROTICOS
cloridrato de vancomicina,ANTIBIOTICOS SISTEMICOS SIMPLES + GLICOPEPTÍDEOS ANTIBACTERIANOS + OUTROS ANTIBACTERIANOS
cloridrato duloxetina,ANTIDEPRESSIVOS
clortamina,ANESTESICOS GERAIS INJETAVEIS
colcitrat,ANTIGOTOSOS
cordiox,ANALGESICOS NAO NARCOTICOS
cuore,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
dacarbazina,ANTINEOPLASICO
dacarbazina,AGENTES ANTINEOPLÁSICOS
dapagliflozina,ANTIDIABETICOS
daptomicina,ANTIBIOTICOS SISTEMICOS SIMPLES
daptomicina,ANTIBACTERIANO
dasatinibe,ANTINEOPLASICO
decitabina,ANTINEOPLASICOS CITOTOXICOS
dicloridrato de betaistina,VASODILATADORES
dicloridrato de levacetirizina,ANTIALERGICOS
dicloridrato de manidipino,ANTI-HIPERTENSIVOS
dicloridrato de pramipexol monoidratado,ANTIPARKINSONIANOS
dicoflenaco potássico,ANTINFLAMATORIOS
dimenidrinato + cloridrato de piridoxina,ANTIEMETICOS E ANTINAUSEANTES
dipirona  monoidratada,ANALGESICOS NAO NARCOTICOS
dipirona monohidratada,ANALGESICOS NAO NARCOTICOS
dipirona monoidratada + butilbrometo de escopolamina,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
dipirona sódica+ cafeína,ANALGESICOS NAO NARCOTICOS
dipropionato de betametasona + sulfato de gentamicina,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
dipropionato de betametasona + ácido salicílico,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
dipropionato de betametasona+ácido salicílico,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
divalproato de sódio,ANTIEPILÉPTICOS
docetaxel,AGENTES ANTINEOPLÁSICOS
docetaxel tri-hidratado,AGENTES ANTINEOPLÁSICOS
dolutegravir sódico,ANTIRETROVIRAL
drosperinona + etinilestradiol,ANTICONCEPCIONAIS
enantato de noretisterona + valerato de estradiol,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
entecavir,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
entecavir,ANTIVIROTICOS
entricitabina + fumarato de tenofovir desoproxila,ANTIRETROVIRAL
ertapenem sódico,ANTIBIOTICOS SISTEMICOS SIMPLES
ertapeném sódico,ANTIBACTERIANOS PARA USO SISTÊMICO
esilato de nintedanibe,ANTINEOPLASICO
esomeprazol magnésico tri-hidratado,ANTIULCEROSOS
estradiol + acetato de noretisterona,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
estradiol + didrogesterona,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
estradiol + drospirenona,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
etinilestradiol + acetato de ciproterona,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
etinilestradiol + gestodeno,ANTICONCEPCIONAIS
fendizoato de cloperastina,ANTITUSSIGENOS
fenobarbital (PORTARIA 344/98 LISTA B1),ANTICONVULSIVANTES
fenobarbital (Port.344/98 lista - B1),ANTICONVULSIVANTES
finasterida,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
flumazenil,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
flumazenil (PORTARIA 344 - LISTA C1),ANTAGONISTA DE BENZODIAZEPINAS
fluocinolona acetonida+hidroquinona+tretinoína,DESMELANIZANTES
fosaprepitanto dimeglumina,ANTIEMETICOS E ANTINAUSEANTES
fosfato de oseltamivir,ANTIVIRÓTICOS
fosfato dissódico de betametasona + dipropionato de betametasona,GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
fosfomicina trometamol,ANTIBIOTICOS SISTEMICOS SIMPLES
fulvestranto,AGENTES ANTINEOPLÁSICOS
fumarato de dimetila,OUTROS PRODUTOS COM ACAO IMUNOPROTETORA
fumarato de formoterol di-hidratado + budesonida,ANTIASMATICOS
furoato de mometasona,OUTROS MEDICAMENTOS ANTIASMATICOS
gatifloxacino,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
gcib,ANTINEOPLASICO
gefitinibe,ANTINEOPLASICO
glimepirida + cloridrato de metformina,ANTIDIABETICOS
hazex,VASODILATADORES
hemifumarato de alisquireno,ANTI-HIPERTENSIVOS SIMPLES
hidrobrometo de galantamina,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
hidroxiuréia,ANTINEOPLASICO
ibandronato de sódio monoidratado,SUPRESSORES DA REABSORCAO OSSEA
ibrupofeno,ANALGESICOS NAO NARCOTICOS
ibuprofeno 200 mg comprimido revestido,ANALGESICOS NAO NARCOTICOS
ibuprofeno arginina,ANALGESICOS NAO NARCOTICOS
irbesartana,ANTI-HIPERTENSIVOS
irbesartana + hidroclorotiazida,ANTI-HIPERTENSIVOS
isetionato de hexamidina + cloridrato de tetracaina,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
isetionato de hexamidina + cloridrato de tetracaína,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
kaskadil,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
lamotrigina,OUTROS PSICOLEPTICOS
lansoprazol + claritromicina + amoxicilina,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS
latanoprosta + maleato de timolol,ANTIGLAUCOMATOSOS
leverctin,ANTIPARASITARIOS
levodopa + cloridrato de benserazida,ANTIPARKINSONIANOS
levofloxacino hemi-hidratado,ANTIBIOTICOS SISTEMICOS SIMPLES
levofloxacino hemihidratado,ANTIBIOTICOS SISTEMICOS SIMPLES
lidocaína + tetracaína,ANESTESICOS LOCAIS
linagliptina + cloridrato de metformina,ANTIDIABETICOS
linezolida,ANTIBACTERIANOS PARA USO SISTÊMICO + ANTIBIOTICOS SISTEMICOS SIMPLES + OUTROS ANTIBACTERIANOS + OUTRO
loritil D,ANTI-HISTAMINICOS SISTEMICOS
losartana potássica+hidroclorotiazida,ANTI-HIPERTENSIVOS
maleato de dexclorfeniramina + sulfato de pseudoefedrina + guaifenesi,EXPECTORANTES
maleato de dexclorfeniramina +betametasona,ANTI-HISTAMINICOS SISTEMICOS
maleato de dexclorfeniramina+betametasona,ANTI-HISTAMINICOS SISTEMICOS
maleato de dexclorferinamina,ANTIALERGICOS TOPICOS
marca comercial,ANTIPARASITARIOS
mebendazol+tiabendazol,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
mesilato de desferroxamina,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
mesilato de rasagilina,ANTIPARKINSONIANOS
metilsulfato de neostigmina,ANTIMIASTENICOS E DESCURARIZANTES
mevacor,ANTILIPEMICOS
montelucaste de sódio + dicloridrato de levocetirizina,ANTIALERGICOS
naproxeno sódico,ANTINFLAMATORIOS
nimesulida,AGENTES ANTI-INFLAMATÓRIOS
nistatina+oxido de zinco,EMOLIENTES E PROTETORES DA PELE E MUCOSAS
nitrazepam,ANSIOLITICOS SIMPLES
pantoprazol magnésico,ANTIACIDOS E ANTIULCEROSOS
pantoprazol magnésico di-hidratado,ANTIACIDOS E ANTIULCEROSOS SIMPLES
pantoprazol magnésico di-hidratado,ANTIACIDOS E ANTIULCEROSOS
pantoprazol sódico,ANTIULCEROSOS
pantoprazol sódico,ANTIACIDOS E ANTIULCEROSOS SIMPLES
pantoprazol sódico sesqui-hidratado,ANTIACIDOS E ANTIULCEROSOS
pantoprazol sódico sesquihidratado,ANTIULCEROSOS
papilup,ANTIMALARICOS
paracetamol + cafeína + carisoprodol + diclofenaco sódico,ANTINFLAMATORIOS
paracetamol + carisoprodol + diclofenaco sódico + cafeína,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
paracetamol + carisoprodol + diclofenaco sódico + cafeína anidra,ANTINFLAMATORIOS
paracetamol + fosfato de codeina,ANALGESICOS NAO NARCOTICOS
paracetamol + maleato de clorfeniramina + cloridrato de fenilefrina,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE
paracetamol + maleato de clorfeniramina + cloridrato de fenilefrina,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE
paracetamol + maleato de dexclorfeniramina + cloridrato de fenilefrin,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE
paracetamol + ácido acetilsalicílico + cafeína,ANALGESICOS NAO NARCOTICOS
parecoxibe sódico,ANTINFLAMATORIOS
paricalcitol,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
pemetrexede dissódico hemipentaidratado,AGENTES ANTINEOPLÁSICOS
pemetrexede dissódico heptaidratado,ANTINEOPLASICO
perindopril erbumina + indapamida,ANTI-HIPERTENSIVOS
pioglit,ANTIDIABETICOS
piperaciclina sódica + tazobactam sódico,PENICILINAS PENICILINASE-RESISTENTES
piperacilina sódica + tozobactam sódico,PENICILINAS PENICILINASE-RESISTENTES
pitavastatina cálcica,ANTILIPEMICOS
propilenoglicolato de dapagliflozina + cloridrato de saxagliptina,ANTIDIABETICOS
propilenoglicolato de dapagliflozina +cloridrato de metformina,ANTIDIABETICOS
propofol,
ramelteona,HIPNÓTICOS E SEDATIVOS
ramipril + hidroclorotiazida,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
ranitidina,ANTIACIDO
renflexis,ANTINFLAMATORIOS
rifamicina SV sódica,RIFAMPICINAS
rivaroxabana,ANTITROMBOTICO
rivaroxabana,AGENTES ANTITROMBÓTICOS
rivastigmina,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
rousuvastatina cálcica,ANTILIPEMICOS
secnitec,ANTIPARASITARIOS
sidelg,ORLISTATE
simeticona + metilbrometo de homatropina,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES
sofosbuvir,ANTIVIROTICOS
"soro antiaracnídico (Loxosceles, Phoneutria e Tityus)",SOROS IMUNOPROTETORES
soro antibotrópico-laquético,SOROS IMUNOPROTETORES
succinato de metoprolol,
succinato de solifenacina,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
succinato de sumatriptana,ANALGESICOS CONTRA ENXAQUECA
succinato sódico de cloranfenicol,CLORANFENICOL E ANALOGOS
succinato sódico de metilprednisolona,GLICOCORTICOIDES SISTEMICOS
sugamadex sódico,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
sulbactam sódico + ampicilina sódica,ANTIBIOTICOS SISTEMICOS SIMPLES
